feature,n,edof,pseudo_r2
population_density,1740,11.392641073802823,0.7686646534811781
aging_share_65plus,1740,13.38927649401625,0.2916534724094625
working_age_share_15_64,1740,11.029495927801,0.40024002275306847
youth_share_0_14,1740,12.333587970108841,0.04423210977366854
