model,split,n,n_features,rmse,mae,r2,spearman
SSDSE-A Core,prefecture_group_kfold,1740,29,0.05050819258849895,0.030579554272961218,0.7580594339970441,0.7043220985179028
SSDSE-A + e-Stat SSDS Expanded,prefecture_group_kfold,1740,69,0.04935728064746473,0.02907412255167065,0.7689598355552202,0.7306010201966154
