feature,2010,2020
year,0.0,0.0
commuters,0.0,0.0005743825387708214
rail_users,0.0,0.0005743825387708214
car_users,0.0,0.0005743825387708214
bike_users,0.0,0.0005743825387708214
rail_any_share,0.0,0.0005743825387708214
car_any_share,0.0,0.0005743825387708214
bike_share,0.0,0.0005743825387708214
A1101,0.0,0.0
A1102,0.0,0.0
A1301,0.0,0.0
A1302,0.0,0.0
A1303,0.0,0.0
A1401,0.0,0.0005743825387708214
A1402,0.0,0.0005743825387708214
B1101,0.0,0.0
B1103,0.01993704092339979,0.0
B1104,0.0,0.0005743825387708214
C120110,0.08604407135362015,0.0005743825387708214
C120120,0.08604407135362015,0.0005743825387708214
D2201,0.10178384050367262,0.013785180930499713
D2202,0.10178384050367262,0.013785180930499713
D2203,0.08919202518363065,0.0
D2211,0.08971668415529906,0.0
D3201,0.08604407135362015,0.0
D320101,0.08604407135362015,0.0
E2101,0.0,0.0
E2501,0.0,0.0
E3101,0.0,0.0
E3501,0.0,0.0
E4101,0.0,0.0
E4501,0.0,0.0
E9106,0.0,0.0005743825387708214
F1101,0.0,0.0005743825387708214
F1102,0.0,0.0
F1107,0.0,0.0
F1108,0.0,0.0
F1301,0.0,0.0005743825387708214
F1307,0.0,0.0005743825387708214
F1311,0.0,0.0005743825387708214
I5101,0.0,0.0005743825387708214
I5102,0.0,0.0
I5103,0.0,0.0
I5211,0.0,0.0005743825387708214
I6100,0.0,0.0
population_density,0.0,0.0005743825387708214
aging_share_65plus,0.0,0.0005743825387708214
working_age_share_15_64,0.0,0.0005743825387708214
youth_share_0_14,0.0,0.0005743825387708214
log_commuters,0.0,0.0005743825387708214
rail_pp,0.0,0.0005743825387708214
A110101,1.0,0.0
A110102,1.0,0.0
A110201,1.0,0.0
A110202,1.0,0.0
A130101,1.0,0.0
A130102,1.0,0.0
A130201,1.0,0.0
A130202,1.0,0.0
A130301,1.0,0.0
A130302,1.0,0.0
A1419,1.0,0.0
A141901,1.0,0.0
A141902,1.0,0.0
A1700,1.0,0.0
A4101,1.0,0.0
A4200,1.0,0.0
A5101,1.0,0.0
A5102,1.0,0.0
A7101,1.0,0.0
A710101,1.0,0.0
A710201,1.0,0.0
A810102,1.0,0.0
A810105,1.0,0.0
A811102,1.0,0.0
A8201,1.0,0.0
A8301,1.0,0.0
A9101,1.0,0.0
A9201,1.0,0.0
C2108,1.0,0.0
C210832,1.0,0.0
C210833,1.0,0.0
C210835,1.0,0.0
C210836,1.0,0.0
C210837,1.0,0.0
C210838,1.0,0.0
C210839,1.0,0.0
C210840,1.0,0.0
C210841,1.0,0.0
C210844,1.0,0.0
C210845,1.0,0.0
C210846,1.0,0.0
C210847,1.0,0.0
C210848,1.0,0.0
C210849,1.0,0.0
C210850,1.0,0.0
C210851,1.0,0.0
C210852,1.0,0.0
C2208,1.0,0.0
C220832,1.0,0.0
C220833,1.0,0.0
C220835,1.0,0.0
C220836,1.0,0.0
C220837,1.0,0.0
C220838,1.0,0.0
C220839,1.0,0.0
C220840,1.0,0.0
C220841,1.0,0.0
C220844,1.0,0.0
C220845,1.0,0.0
C220846,1.0,0.0
C220847,1.0,0.0
C220848,1.0,0.0
C220849,1.0,0.0
C220850,1.0,0.0
C220851,1.0,0.0
C220852,1.0,0.0
C310201,1.0,0.0
C310202,1.0,0.0
D1202,1.0,0.0
D3203,1.0,0.0
D320303,1.0,0.0
D320308,1.0,0.0
D320310,1.0,0.0
D320311,1.0,0.0
E1101,1.0,0.0
E1501,1.0,0.0
E2401,1.0,0.0
E3401,1.0,0.0
E3901,1.0,0.0
E3904,1.0,0.0
E3905,1.0,0.0
E3906,1.0,0.0
F110201,1.0,0.0
F110202,1.0,0.0
F110701,1.0,0.0
F110702,1.0,0.0
F110801,1.0,0.0
F110802,1.0,0.0
F2201,1.0,0.0
F2211,1.0,0.0
F2221,1.0,0.0
G1201,1.0,0.0
G1401,1.0,0.0
H5507,1.0,0.0
H550701,1.0,0.0
H6130,1.0,0.0
H6131,1.0,0.0
H6132,1.0,0.0
I510120,1.0,0.0
I6200,1.0,0.0
I6300,1.0,0.0
J250302,1.0,0.0
log_population,1.0,0.0
share_75plus,1.0,0.0005743825387708214
foreign_population_share,1.0,0.0005743825387708214
single_household_share,1.0,0.0005743825387708214
elderly_single_household_share,1.0,0.0005743825387708214
unemployment_rate,1.0,0.0005743825387708214
non_labor_force_share,1.0,0.0005743825387708214
primary_industry_share,1.0,0.0005743825387708214
secondary_industry_share,1.0,0.0005743825387708214
tertiary_industry_share,1.0,0.0005743825387708214
