feature,n,missing_rate,min,p01,median,p99,max,outlier_iqr_count
A710101,1741,0.5226213326021387,0.0,327.6,9413.0,341447.1999999992,1744208.0,130
A710201,1741,0.5226213326021387,0.0,597.2,22539.0,741579.5999999999,3708302.0,122
A810102,1741,0.5226213326021387,0.0,135.8,5293.0,179155.59999999974,971451.0,118
A810105,1741,0.5226213326021387,0.0,131.4,2705.0,167850.1999999993,784785.0,148
A811102,1741,0.5226213326021387,0.0,70.4,2657.0,71921.99999999981,357647.0,106
A8201,1741,0.5226213326021387,0.0,38.000000000000014,1407.0,35819.59999999995,186237.0,104
A8301,1741,0.5226213326021387,0.0,58.400000000000006,1238.0,38645.3999999999,213260.0,122
A9101,1741,0.5226213326021387,0.0,1.0,57.0,3207.1999999999985,16056.0,141
A9201,1741,0.5226213326021387,0.0,0.0,30.0,1087.3999999999978,5319.0,119
C2108,1741,0.5226213326021387,4.0,43.800000000000004,999.0,33207.999999999985,177184.0,119
C210832,1741,0.5226213326021387,0.0,0.0,13.0,129.5999999999999,268.0,51
C210833,1741,0.5226213326021387,0.0,0.0,0.0,32.0,94.0,116
C210835,1741,0.5226213326021387,0.0,0.0,0.0,11.0,24.0,103
C210836,1741,0.5226213326021387,0.0,4.0,113.0,2750.599999999997,11430.0,102
C210837,1741,0.5226213326021387,0.0,2.0,87.0,2323.3999999999987,14860.0,89
C210838,1741,0.5226213326021387,0.0,0.0,2.0,59.59999999999991,216.0,94
C210839,1741,0.5226213326021387,0.0,0.0,4.0,880.5999999999995,5489.0,164
C210840,1741,0.5226213326021387,0.0,0.0,24.0,871.7999999999997,3860.0,107
C210841,1741,0.5226213326021387,0.0,8.0,239.0,7972.999999999987,44879.0,111
C210844,1741,0.5226213326021387,0.0,0.0,11.0,657.3999999999974,3001.0,129
C210845,1741,0.5226213326021387,0.0,0.0,38.0,3000.3999999999787,16744.0,139
C210846,1741,0.5226213326021387,0.0,0.0,28.0,1980.59999999999,14583.0,136
C210847,1741,0.5226213326021387,0.0,5.0,108.0,3467.1999999999953,22806.0,118
C210848,1741,0.5226213326021387,0.0,2.0,89.0,2574.199999999995,10410.0,114
C210849,1741,0.5226213326021387,0.0,0.0,24.0,1051.7999999999997,4672.0,120
C210850,1741,0.5226213326021387,0.0,1.0,80.0,2913.9999999999945,14577.0,122
C210851,1741,0.5226213326021387,0.0,1.0,9.0,142.39999999999964,440.0,77
C210852,1741,0.5226213326021387,0.0,3.0,77.0,2382.3999999999955,11686.0,113
C2208,1741,0.5226213326021387,19.0,197.0,8978.0,418991.7999999988,2308581.0,127
C220832,1741,0.5226213326021387,0.0,0.0,130.0,1433.9999999999986,2755.0,66
C220833,1741,0.5226213326021387,0.0,0.0,0.0,363.39999999999964,866.0,195
C220835,1741,0.5226213326021387,0.0,0.0,0.0,129.19999999999982,1052.0,132
C220836,1741,0.5226213326021387,0.0,27.400000000000002,679.0,26710.599999999755,125021.0,123
C220837,1741,0.5226213326021387,0.0,9.800000000000004,1740.0,44980.399999999914,191643.0,82
C220838,1741,0.5226213326021387,0.0,0.0,9.0,1597.1999999999953,12837.0,146
C220839,1741,0.5226213326021387,0.0,0.0,13.0,19003.99999999987,249897.0,222
C220840,1741,0.5226213326021387,0.0,0.0,392.0,24488.59999999988,110265.0,143
C220841,1741,0.5226213326021387,0.0,22.800000000000004,1625.0,86905.9999999995,527474.0,129
C220844,1741,0.5226213326021387,0.0,0.0,99.0,12025.799999999885,143033.0,152
C220845,1741,0.5226213326021387,0.0,0.0,114.0,13398.99999999994,98565.0,158
C220846,1741,0.5226213326021387,0.0,0.0,123.0,19275.799999999897,135141.0,177
C220847,1741,0.5226213326021387,0.0,15.400000000000002,619.0,32563.199999999742,186768.0,130
C220848,1741,0.5226213326021387,0.0,2.0,335.0,14650.999999999902,73610.0,125
C220849,1741,0.5226213326021387,0.0,0.0,151.0,17471.99999999989,65755.0,160
C220850,1741,0.5226213326021387,0.0,13.0,1339.0,52240.19999999981,251412.0,124
C220851,1741,0.5226213326021387,0.0,4.0,99.0,2290.99999999999,7334.0,72
C220852,1741,0.5226213326021387,0.0,6.400000000000002,477.0,45802.799999999785,309657.0,155
C310201,1741,0.5226213326021387,0.0,0.0,324.0,3357.3999999999946,6813.0,44
C310202,1741,0.5226213326021387,0.0,0.0,238.0,2819.5999999999904,6078.0,48
D1202,1741,0.5226213326021387,13.0,25.400000000000002,171.0,3630.599999999999,15445.0,112
D3203,1741,0.5226213326021387,1044110.0,1986979.0,13978960.0,375507168.79999995,2072931560.0,117
D320303,1741,0.5226213326021387,45511.0,212252.60000000003,4068059.0,164553197.59999904,841600219.0,123
D320308,1741,0.5226213326021387,12189.0,131683.4,1339846.0,43714017.19999995,243171455.0,112
D320310,1741,0.5226213326021387,64316.0,137293.0,1389100.0,60480163.999999605,332359465.0,116
D320311,1741,0.5226213326021387,0.0,0.0,10525.0,2198361.7999999933,6077771.0,181
E1101,1741,0.5226213326021387,0.0,0.0,1.0,50.19999999999982,233.0,126
E1501,1741,0.5226213326021387,0.0,0.0,50.0,5545.799999999994,29435.0,148
E2401,1741,0.5226213326021387,0.0,0.0,95.0,2361.3999999999915,10859.0,95
E3401,1741,0.5226213326021387,0.0,0.0,54.0,1360.5999999999995,5748.0,97
E3901,1741,0.5226213326021387,0.0,0.0,0.0,2.0,9.0,164
E3904,1741,0.5226213326021387,0.0,0.0,0.0,86.59999999999991,400.0,164
E3905,1741,0.5226213326021387,0.0,0.0,0.0,638.5999999999981,4009.0,164
E3906,1741,0.5226213326021387,0.0,0.0,0.0,328.19999999999936,2256.0,164
F110201,1741,0.5226213326021387,0.0,187.8,6124.0,188018.19999999987,942361.0,114
F110202,1741,0.5226213326021387,0.0,117.4,5064.0,158360.79999999996,745911.0,111
F110701,1741,0.5226213326021387,0.0,3.0,286.0,8265.999999999976,37811.0,104
F110702,1741,0.5226213326021387,0.0,1.0,150.0,5595.999999999972,24611.0,109
F110801,1741,0.5226213326021387,0.0,60.60000000000001,2927.0,73607.3999999997,360208.0,104
F110802,1741,0.5226213326021387,0.0,109.80000000000001,5040.0,133132.39999999994,662444.0,108
F2201,1741,0.5226213326021387,0.0,26.400000000000002,673.0,6351.399999999995,14216.0,40
F2211,1741,0.5226213326021387,0.0,43.800000000000004,2812.0,74665.39999999967,301600.0,88
F2221,1741,0.5226213326021387,0.0,199.60000000000002,6995.0,259906.59999999907,1325603.0,127
G1201,1741,0.5226213326021387,0.0,0.0,3.0,66.79999999999973,257.0,76
G1401,1741,0.5226213326021387,0.0,0.0,1.0,15.0,26.0,138
H5507,1741,0.5226213326021387,161.0,634.0,22872.0,738002.5999999994,3771766.0,121
H550701,1741,0.5226213326021387,0.0,0.0,1077.0,20723.599999999948,51193.0,82
H6130,1741,0.5226213326021387,0.0,8.0,198.0,4823.599999999988,22951.0,106
H6131,1741,0.5226213326021387,0.0,2.0,80.0,3012.5999999999967,20354.0,121
H6132,1741,0.5226213326021387,0.0,0.0,3.0,117.0,521.0,117
I510120,1741,0.5226213326021387,0.0,0.0,1.0,40.19999999999982,172.0,81
I6200,1741,0.5226213326021387,0.0,0.0,13.0,916.1999999999994,3336.0,132
I6300,1741,0.5226213326021387,0.0,0.0,37.0,2194.7999999999965,11910.0,135
J250302,1741,0.5226213326021387,0.0,0.0,5.0,161.1999999999989,864.0,102
log_population,1741,0.5226213326021387,0.0,6.443140220578734,10.061644482330784,13.528887820014855,15.144570855324009,1
share_75plus,1740,0.5228955305730738,0.04014167650531287,0.08895535674643698,0.17851426730575354,0.32799447651091457,0.43637492240844195,1
foreign_population_share,1740,0.5228955305730738,0.0,0.0010088183161004432,0.009641394035453221,0.0663149242146116,0.1899171270718232,46
single_household_share,1740,0.5228955305730738,0.13068478829064298,0.17884170823159243,0.3119321749593291,0.5937654033359986,0.9586983729662077,6
elderly_single_household_share,1740,0.5228955305730738,0.04511494252873563,0.06898114543086085,0.13552089498221806,0.2861294680436075,0.3528,0
unemployment_rate,1740,0.5228955305730738,0.0,0.009855928509154316,0.03598060400334414,0.07485535682227291,0.10634648370497427,12
non_labor_force_share,1740,0.5228955305730738,0.10023866348448687,0.24690280632578185,0.3934653976168929,0.5236299068139515,0.5863808322824716,7
primary_industry_share,1740,0.5228955305730738,0.00022029666617711852,0.0014964333810038762,0.07441341359939266,0.41086877828054275,0.7585985213757634,3
secondary_industry_share,1740,0.5228955305730738,0.0174496644295302,0.08622854571792284,0.2505251776571782,0.446812682535366,0.5358752817430503,0
tertiary_industry_share,1740,0.5228955305730738,0.2073288331726133,0.4247910958904109,0.6379946474080904,0.878510901238895,0.963758389261745,0
