feature,importance
E9106,0.1541560297525531
B1103,0.12787266642881
B1101,0.11119972973694209
F1301,0.0567164766280119
F1307,0.04842292763215717
A1302,0.04062721733333133
I5103,0.03473726324154841
D2201,0.02954246026016711
I5102,0.029364822777127188
A1401,0.026097773733380115
A1102,0.025169597412752872
A1101,0.02421022911509991
D2211,0.024186213739009737
A1402,0.023495794316692714
F1102,0.019557525701650296
F1108,0.01885569833294382
F1107,0.018843620304567658
A1301,0.01716135108322381
E2501,0.015559599272146061
C120110,0.015304703637396656
A1303,0.014006487063434919
F1101,0.01377666802277313
E4501,0.01286487577022811
E3501,0.012143804691222884
E2101,0.011720327284042813
D2203,0.011553259827041598
C120120,0.010341551711753256
D3201,0.009720161756841147
I5101,0.009110763257729441
D320101,0.007676691564686427
E3101,0.0075861643713193375
E4101,0.007395390460181056
F1311,0.006859599302218186
D2202,0.004076117375857695
B1104,8.643710115808764e-05
