feature,x,partial_dependence
E9106,94.0,0.03618797880249889
E9106,133.58615384615382,0.03620569849636302
E9106,189.56923076923078,0.03630475659346623
E9106,246.19846153846154,0.03654641017719202
E9106,301.00461538461536,0.037169713757204584
E9106,345.0,0.03741729570559522
E9106,407.61692307692306,0.03780105795144826
E9106,489.6923076923076,0.03889208901007022
E9106,558.2292307692308,0.03961473139962483
E9106,623.0353846153846,0.039756228561060224
E9106,708.8415384615384,0.04041800653473715
E9106,859.0,0.04211332866746734
E9106,986.8153846153846,0.044120468083230314
E9106,1115.26,0.04756444319309397
E9106,1232.0661538461538,0.04851937693868733
E9106,1380.4892307692312,0.048703479402921385
E9106,1564.1061538461538,0.04991925328343145
E9106,1780.4846153846154,0.05190604878329754
E9106,2070.5815384615385,0.05292120499638862
E9106,2359.6784615384613,0.0532738844968854
E9106,2749.4492307692326,0.054628067857452486
E9106,3005.836923076923,0.05928980208699913
E9106,3393.576923076923,0.07050284010832213
E9106,3761.2153846153847,0.08183309803390704
E9106,4228.0215384615385,0.09111999279211615
E9106,4775.867692307693,0.09892362550373643
E9106,5200.14,0.10257560389976088
E9106,5944.576923076924,0.11470753355706313
E9106,6643.796923076923,0.11930707215081632
E9106,7701.540000000002,0.12066626282252062
E9106,8677.256923076924,0.11984952132041587
E9106,10441.103076923077,0.13041586549347875
E9106,12124.038461538461,0.13708778128342494
E9106,14282.726153846153,0.15531256400409818
E9106,17325.19230769231,0.16930701017873906
E9106,22439.58,0.1941097246716735
E9106,28321.461538461546,0.19998261414170113
E9106,40667.39230769232,0.21892999626922297
E9106,60928.010769230794,0.2446417022936997
E9106,106616.02000000008,0.26180190805474984
