lower,upper,n,local_effect,ale,ale_centered
37.0,149.95,87,0.001201569408176383,0.001201569408176383,-0.09407404037468843
149.95,255.70000000000002,87,0.001090608767077272,0.002292178175253655,-0.09298343160761116
255.70000000000002,354.70000000000005,87,0.0017168875785350587,0.004009065753788714,-0.0912665440290761
354.70000000000005,510.8,87,0.004299314675320099,0.008308380429108812,-0.086967229353756
510.8,655.0,86,0.0005655011329322617,0.008873881562041074,-0.08640172822082373
655.0,884.7,88,0.004812947914108331,0.013686829476149406,-0.0815887803067154
884.7,1155.2500000000005,87,0.006331045956192099,0.020017875432341504,-0.07525773435052331
1155.2500000000005,1464.6,87,0.005399645134562796,0.0254175205669043,-0.06985808921596051
1464.6,1949.8500000000004,87,0.007723023778318269,0.03314054434522257,-0.062135065437642245
1949.8500000000004,2574.5,87,0.003332186895661348,0.03647273124088392,-0.058802878541980894
2574.5,3238.8,87,0.010114316560333882,0.0465870478012178,-0.04868856198164701
3238.8,3967.6000000000004,87,0.009509953484133636,0.05609700128535144,-0.039178608497513374
3967.6000000000004,5001.550000000002,87,0.011312875480185612,0.06740987676553704,-0.027865733017327768
5001.550000000002,6369.3000000000075,87,0.03213653842508663,0.09954641519062368,0.004270805407758871
6369.3000000000075,8396.5,87,0.014578841854994027,0.11412525704561771,0.0188496472627529
8396.5,11576.6,87,0.03705548122026019,0.1511807382658779,0.0559051284830131
11576.6,16573.250000000004,87,0.04909022015976405,0.20027095842564197,0.10499534864277715
16573.250000000004,25929.900000000005,87,0.06694820297424502,0.267219161399887,0.17194355161702218
25929.900000000005,56238.850000000035,87,0.07633789193128449,0.3435570533311715,0.24828144354830667
56238.850000000035,959277.0,87,0.06248573518493617,0.40604278851610764,0.31076717873324283
