feature,reference_year,official_item_name_raw,source_dataset,ssdse_version,ssdse_item_code,raw_or_derived,temporal_safe,source_url
C220851,2021,従業者数（民営）（複合サービス事業）,SSDSE-A-2026,2026,C220851,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
C220852,2021,従業者数（民営）（サービス業（他に分類されないもの））,SSDSE-A-2026,2026,C220852,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
C310201,2019,農家数（販売農家）,SSDSE-A-2026,2026,C310201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
C310202,2019,農家数（自給的農家）,SSDSE-A-2026,2026,C310202,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D1202,2024,一般行政部門職員数（市区町村）,SSDSE-A-2026,2026,D1202,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D2203,2022,経常収支比率（市町村財政）,SSDSE-A-2026,2026,D2203,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D2211,2022,実質公債費比率（市町村財政）,SSDSE-A-2026,2026,D2211,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D3201,2022,歳入決算総額（市町村財政）,SSDSE-A-2026,2026,D3201,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D320101,2022,地方税（市町村財政）,SSDSE-A-2026,2026,D320101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D3203,2022,歳出決算総額（市町村財政）,SSDSE-A-2026,2026,D3203,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D320303,2022,民生費（市町村財政）,SSDSE-A-2026,2026,D320303,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D320308,2022,土木費（市町村財政）,SSDSE-A-2026,2026,D320308,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
D320310,2022,教育費（市町村財政）,SSDSE-A-2026,2026,D320310,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
