model,split,n,rmse,mae,r2,spearman,mean_bias,observed_mean,predicted_mean,observed_sd,predicted_sd
extra_trees,prefecture_group_kfold,1740,0.049357738794391925,0.029075221236783313,0.7689555463872888,0.7305799344533054,-0.0018775435470548025,0.06562591680021428,0.06374837325315948,0.1027146320540012,0.0794932702218218
hist_gbdt,prefecture_group_kfold,1740,0.046838829758429096,0.028388479430221825,0.7919359208724408,0.7130081103908058,-0.0014309275588553206,0.06562591680021428,0.06419498924135897,0.1027146320540012,0.08680034074401241
elastic_net,prefecture_group_kfold,1740,0.04894985325045056,0.03215341564297947,0.7727584070133862,0.6758042679444421,0.0015959457980484087,0.06562591680021428,0.06722186259826268,0.1027146320540012,0.09335844872767385
xgboost,prefecture_group_kfold,1740,0.04573384251433547,0.027568120561075948,0.8016371129166563,0.7298400302193305,-0.0030989033153563496,0.06562591680021428,0.06252701348485794,0.1027146320540012,0.0834797730874319
catboost,prefecture_group_kfold,1740,0.048636260461555676,0.028490826998255208,0.7756606857978143,0.7314645185725203,-0.0027699867683915664,0.06562591680021428,0.06285593003182272,0.1027146320540012,0.08105956695473769
