stats_data_id,stat_code,stat_name,gov_org_code,gov_org,statistics_name,title_no,title,cycle,survey_date,open_date,updated_date,main_category_code,main_category,sub_category_code,sub_category,overall_total_number,collect_area,small_area,description
0000033333,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00102,男女（３）、年齢（５歳階級２０Ｃ）、常住地による人口（４Ｂ）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,668304,該当なし,0,
0000033334,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00103,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３A）、人口 （従業地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,497303,該当なし,0,
0000033335,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00104,男女（３）、年齢（５歳階級２０Ｃ）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従業地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,474914,該当なし,0,
0000033336,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00105,有配偶の女性就業者（３）、常住地による人口（７）、人口 （常住地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,47970,該当なし,0,
0000033337,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00106,有配偶の女性就業者（３）、常住地による人口（４Ｂ）、１５歳以上就業者数 （常住地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,37687,該当なし,0,
0000033338,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00107,有配偶の女性就業者（３）、従業地・通学地による人口（３A）、人口 （従業地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,27208,該当なし,0,
0000033339,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00108,有配偶の女性就業者（３）、従業地・通学地による人口（３B）、１５歳以上就業者数 （従業地）全国・都道府県・市区町村,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,27208,該当なし,0,
0000033340,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00201,男女（３）、通勤・通学者数（２）、１５歳以上就業者数・１５歳以上通学者数 （常住地）全国・都道府県、従業地・通学地（５Ａ）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,3888,該当なし,0,
0000033341,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00203,男女（３）、通勤・通学者数（２）、１５歳以上就業者数・１５歳以上通学者数 （常住地）市区町村、従業地・通学地（５B）,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,257828,該当なし,0,
0000033342,00200521,国勢調査,00200,総務省,平成12年国勢調査 従業地・通学地集計その1（通勤・通学人口，従業地による就業者の産業別構成，利用交通手段など）,00205,男女（３）、通勤・通学者数（２）、１５歳以上就業者数・１５歳以上通学者数 （常住地）都道府県、（従業地・通学地）都道府県,-,200010,2007-10-07,2026-05-29,02,人口・世帯,01,人口,17802,該当なし,0,
