stats_data_id,stat_code,stat_name,gov_org_code,gov_org,statistics_name,title_no,title,cycle,survey_date,open_date,updated_date,main_category_code,main_category,sub_category_code,sub_category,overall_total_number,collect_area,small_area,description,relevance,matched_filters,data_status,downloaded_rows,api_total_number,values_file,request_meta_file,metadata_file,notes
0003063781,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01422,従業地・通学地による常住市区町村，利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 20大都市の区,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,369920,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段2010"",""codes"":[{""code"":""003"",""level"":""2"",""name"":""鉄道・電車"",""unit"":""""},{""code"":""012"",""level"":""2"",""name"":""鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""013"",""level"":""2"",""name"":""鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""014"",""level"":""2"",""name"":""鉄道・電車及び自家用車"",""unit"":""""},{""code"":""016"",""level"":""2"",""name"":""鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""017"",""level"":""2"",""name"":""鉄道・電車及び自転車"",""unit"":""""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0003063781.json,利用交通手段2010
0003063780,00200521,国勢調査,00200,総務省,平成22年国勢調査 従業地・通学地による人口・産業等集計（人口の男女，年齢，就業者の産業（大分類）),01421,従業地・通学地による常住市区町村，利用交通手段(16区分)別15歳以上自宅外就業者・通学者数 人口10万以上の市（20大都市除く）,-,201010,2012-06-26,2026-05-29,02,人口・世帯,01,人口,311900,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段2010"",""codes"":[{""code"":""003"",""level"":""2"",""name"":""鉄道・電車"",""unit"":""""},{""code"":""012"",""level"":""2"",""name"":""鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""013"",""level"":""2"",""name"":""鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""014"",""level"":""2"",""name"":""鉄道・電車及び自家用車"",""unit"":""""},{""code"":""016"",""level"":""2"",""name"":""鉄道・電車及びオートバイ"",""unit"":""""},{""code"":""017"",""level"":""2"",""name"":""鉄道・電車及び自転車"",""unit"":""""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0003063780.json,利用交通手段2010
0000031293,00200521,国勢調査,00200,総務省,平成２年国勢調査 1%抽出速報集計,021,利用交通手段（２０），常住地又は従業地・通学地（９），１５歳以上自宅外就業者・通学者数 全国・都道府県（４７）,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,6570,該当なし,0,,filtered_cdCat01,"[{""class_id"":""cat01"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""""}],""param"":""cdCat01""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031293.json,利用交通手段030383
0000031741,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01301,従業地・通学地（４Ａ），利用交通手段（２０），１５歳以上自宅外就業者・通学者数 （常住地）人口１０万以上の市・区,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,37987,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031741.json,利用交通手段030383
0000031745,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01403,常住地（４Ａ），利用交通手段（２０），１５歳以上自宅外就業者・通学者数 （従業地・通学地）人口１０万以上の市・区（１２大都市を除く）,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,36309,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031745.json,利用交通手段030383
0000031738,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01104,常住地（４Ｂ），利用交通手段（２０），１５歳以上自宅外就業者・通学者数 （従業地・通学地）市区町村,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,148839,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031738.json,利用交通手段030383
0000031765,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,02501,従業地・通学地（４Ｂ），利用交通手段（２０），通勤・通学時間（１３），１５歳以上自宅外就業者・通学者数 （常住地）全国・都道府県・人口１０万以上の市・区,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,368631,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031765.json,利用交通手段030383
0000031737,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01103,従業地・通学地（４Ｂ），利用交通手段（２０），１５歳以上自宅外就業者・通学者数 （常住地）市区町村,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,209021,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031737.json,利用交通手段030383
0000031742,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,01302,利用交通手段（２０），１５歳以上自宅外就業者・通学者数 （常住地）人口１０万以上の市・区 （従業地・通学地）都道府県・その他の都道府県・市区町村・その他の市区町村,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,340694,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""人""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""人""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""人""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""人""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""人""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031742.json,利用交通手段030383
0000031766,00200521,国勢調査,00200,総務省,平成２年国勢調査 従業地・通学地集計その1,02502,常住地（４Ｂ），利用交通手段（２０），通勤・通学時間（１３），１５歳以上自宅外就業者・通学者数 （従業地・通学地）全国・都道府県・人口１０万以上の市・区,-,199010,2007-10-05,2026-05-29,02,人口・世帯,01,人口,294133,該当なし,0,,filtered_cdCat02,"[{""class_id"":""cat02"",""class_name"":""利用交通手段030383"",""codes"":[{""code"":""004"",""level"":""1"",""name"":""　３ＪＲ以外の鉄道・電車"",""unit"":""""},{""code"":""013"",""level"":""1"",""name"":""　１１ＪＲ及びＪＲ以外の鉄道・電車"",""unit"":""""},{""code"":""014"",""level"":""1"",""name"":""　１２ＪＲ又はＪＲ以外の鉄道・電車及び乗合バス"",""unit"":""""},{""code"":""015"",""level"":""1"",""name"":""　１３ＪＲ又はＪＲ以外の鉄道・電車及び勤め先・学校のバス"",""unit"":""""},{""code"":""016"",""level"":""1"",""name"":""　１４ＪＲ又はＪＲ以外の鉄道・電車及び自家用車"",""unit"":""""},{""code"":""017"",""level"":""1"",""name"":""　１５ＪＲ又はＪＲ以外の鉄道・電車及びオートバイ又は自転車"",""unit"":""""}],""param"":""cdCat02""}]",metadata_only,0,,,,.\research_project\data\raw\estat_discovery_transport_census\metadata\0000031766.json,利用交通手段030383
