feature,x,prediction,lower,upper
aging_share_65plus,0.10271546635182999,0.09100401555864052,-0.0486421951045318,0.23065022622181283
aging_share_65plus,0.10826773255017096,0.1260537664254292,0.0013397525978468272,0.2507677802530116
aging_share_65plus,0.11381999874851191,0.15976688721752222,0.04890637472530697,0.2706273997097375
aging_share_65plus,0.11937226494685288,0.19146359215177733,0.09316965364835486,0.2897575306551998
aging_share_65plus,0.12492453114519383,0.22046409544505213,0.13332753528612976,0.30760065560397454
aging_share_65plus,0.1304767973435348,0.24608861131420423,0.1687003466162258,0.32347687601218267
aging_share_65plus,0.13602906354187577,0.2676578764548311,0.19875408219828403,0.3365616707113781
aging_share_65plus,0.14158132974021673,0.2846453461629863,0.22317939559959335,0.34611129672637925
aging_share_65plus,0.14713359593855768,0.29688856601191554,0.24193540404053382,0.35184172798329727
aging_share_65plus,0.15268586213689866,0.30427818089565145,0.2550142568720396,0.3535421049192633
aging_share_65plus,0.15823812833523962,0.3067048357082266,0.2624494301074208,0.3509602413090324
aging_share_65plus,0.16379039453358057,0.3040591753436739,0.26434386671066396,0.3437744839766838
aging_share_65plus,0.16934266073192156,0.29624410148564906,0.26086116239343815,0.33162704057785997
aging_share_65plus,0.17489492693026248,0.28380389773036135,0.25262132588240555,0.31498646957831716
aging_share_65plus,0.18044719312860347,0.2682263934974235,0.24082784552737968,0.2956249414674673
aging_share_65plus,0.18599945932694442,0.25107494499806204,0.226695654401824,0.2754542355943001
aging_share_65plus,0.19155172552528538,0.23391290844350351,0.21163880825879267,0.25618700862821436
aging_share_65plus,0.19710399172362636,0.21830364004497416,0.19747421575225452,0.2391330643376938
aging_share_65plus,0.20265625792196731,0.20574918550568969,0.18627904153299688,0.2252193294783825
aging_share_65plus,0.20820852412030827,0.19651865219218362,0.17857866462848385,0.2144586397558834
aging_share_65plus,0.21376079031864925,0.18973929182316351,0.17319980796559195,0.20627877568073508
aging_share_65plus,0.2193130565169902,0.1844952957879795,0.16886806227680107,0.20012252929915791
aging_share_65plus,0.22486532271533116,0.17987085547598158,0.16462406490501477,0.1951176460469484
aging_share_65plus,0.23041758891367212,0.17495016227651988,0.15995955761188002,0.18994076694115974
aging_share_65plus,0.2359698551120131,0.16889032540614135,0.15460933291502674,0.18317131789725596
aging_share_65plus,0.24152212131035405,0.16158594532324588,0.14845830237919508,0.1747135882672967
aging_share_65plus,0.247074387508695,0.1533598459297486,0.14130911133653148,0.16541058052296573
aging_share_65plus,0.25262665370703596,0.14454012585464787,0.13302102999954654,0.1560592217097492
aging_share_65plus,0.25817891990537695,0.13545488372694217,0.1239182579235646,0.14699150953031972
aging_share_65plus,0.26373118610371793,0.1264322181756298,0.1148485892879087,0.1380158470633509
aging_share_65plus,0.26928345230205886,0.11776420468273288,0.10665606798313018,0.12887234138233558
aging_share_65plus,0.27483571850039984,0.10953726124999466,0.09923224224489025,0.11984228025509908
aging_share_65plus,0.2803879846987408,0.10176493772377866,0.09200871726251401,0.11152115818504331
aging_share_65plus,0.28594025089708175,0.09446069856224801,0.08463539530800332,0.1042860018164927
aging_share_65plus,0.29149251709542273,0.08763800822356582,0.07734876125619473,0.09792725519093691
aging_share_65plus,0.2970447832937637,0.08131032797458126,0.07078316108327665,0.09183749486588588
aging_share_65plus,0.30259704949210464,0.0754725201046262,0.0653338987617195,0.0856111414475329
aging_share_65plus,0.30814931569044557,0.07005704714198198,0.06054169070100764,0.07957240358295631
aging_share_65plus,0.3137015818887866,0.06498329999311953,0.055727857808546576,0.07423874217769247
aging_share_65plus,0.31925384808712753,0.060170669564509977,0.05057324833925925,0.0697680907897607
aging_share_65plus,0.32480611428546846,0.055538546762624215,0.045354962651839,0.06572213087340943
aging_share_65plus,0.3303583804838095,0.05100677001391306,0.040617488306229806,0.06139605172159631
aging_share_65plus,0.3359106466821504,0.04655814520450588,0.03658775682273356,0.0565285335862782
aging_share_65plus,0.34146291288049135,0.042302825624825055,0.03289679040799784,0.05170886084165227
aging_share_65plus,0.34701517907883234,0.03836632708710454,0.029125946035628274,0.0476067081385808
aging_share_65plus,0.3525674452771733,0.03487416540357845,0.025273172889654458,0.044475157917502436
aging_share_65plus,0.35811971147551425,0.0319518563864808,0.021874647481186518,0.04202906529177508
aging_share_65plus,0.36367197767385523,0.0297219430699072,0.01962682174642192,0.03981706439339248
aging_share_65plus,0.3692242438721962,0.028199047107838375,0.018602420713562474,0.037795673502114276
aging_share_65plus,0.37477651007053714,0.027261865724095877,0.018106620964910385,0.03641711048328137
aging_share_65plus,0.3803287762688781,0.02678042915084404,0.017517982827245773,0.03604287547444231
aging_share_65plus,0.3858810424672191,0.02662476762024727,0.01675309196049072,0.03649644328000382
aging_share_65plus,0.39143330866556003,0.026664911364469933,0.01620915561904162,0.037120667109898246
aging_share_65plus,0.396985574863901,0.026773409384063994,0.016280772831495434,0.037266045936632554
aging_share_65plus,0.402537841062242,0.0268623125242037,0.016719254175648793,0.03700537087275861
aging_share_65plus,0.4080901072605829,0.026875035334025396,0.01682535969521587,0.03692471097283492
aging_share_65plus,0.4136423734589239,0.026755856300222355,0.01617609935971511,0.0373356132407296
aging_share_65plus,0.4191946396572649,0.026449053909487874,0.014946817453217102,0.037951290365758644
aging_share_65plus,0.4247469058556058,0.025898906648515185,0.013659714382417767,0.0381380989146126
aging_share_65plus,0.4302991720539468,0.025063892827741546,0.012690984834236219,0.037436800821246875
aging_share_65plus,0.4358514382522877,0.02402019999293621,0.011777666445219836,0.036262733540652584
aging_share_65plus,0.4414037044506287,0.022902217516365564,0.010439215644190342,0.035365219388540786
aging_share_65plus,0.4469559706489697,0.02184474842014557,0.008576227268530743,0.03511326957176039
aging_share_65plus,0.4525082368473106,0.020982595726392293,0.006626653289293169,0.03533853816349142
aging_share_65plus,0.4580605030456516,0.020450562457221676,0.005267121571646032,0.035634003342797316
aging_share_65plus,0.4636127692439926,0.02034565921671403,0.0048804333000257785,0.03581088513340228
aging_share_65plus,0.4691650354423335,0.020584487636817805,0.004941783192914901,0.03622719208072071
aging_share_65plus,0.4747173016406745,0.021029876348428657,0.004798627394993413,0.0372611253018639
aging_share_65plus,0.4802695678390155,0.021544644755777706,0.004213481222372365,0.03887580828918305
aging_share_65plus,0.4858218340373564,0.02199161226309608,0.0033922982251253647,0.040590926301066796
aging_share_65plus,0.4913741002356974,0.022233646354666375,0.0026949221524226914,0.04177237055691006
aging_share_65plus,0.4969263664340383,0.02217464482872864,0.0021932331886797066,0.04215605646877758
aging_share_65plus,0.5024786326323794,0.021834306287584863,0.001437949652855517,0.04223066292231421
aging_share_65plus,0.5080308988307203,0.021252613105267874,3.09053492180307e-05,0.04247432086131772
aging_share_65plus,0.5135831650290612,0.020469547655810473,-0.002066807366513948,0.043005902678134894
aging_share_65plus,0.5191354312274021,0.019525092313245472,-0.004545605133271083,0.04359578975976203
aging_share_65plus,0.5246876974257432,0.01845931114536048,-0.006993356566298466,0.043911978857019425
aging_share_65plus,0.5302399636240841,0.017318900445733733,-0.009338940780933506,0.04397674167240097
aging_share_65plus,0.5357922298224251,0.016161978601966026,-0.011927222422959075,0.044251179626891124
aging_share_65plus,0.5413444960207661,0.01504779333612477,-0.014967662741303196,0.04506324941355273
aging_share_65plus,0.546896762219107,0.014035592370277315,-0.01837073645363218,0.04644192119418681
aging_share_65plus,0.5524490284174479,0.013184623426490995,-0.021812135997669367,0.04818138285065136
aging_share_65plus,0.558001294615789,0.01255262930399055,-0.024919776863610583,0.050025035471591685
aging_share_65plus,0.5635535608141299,0.012157445892949648,-0.027641447758487363,0.05195633954438666
aging_share_65plus,0.5691058270124709,0.011973818909962353,-0.030197476577962762,0.05414511439788747
aging_share_65plus,0.5746580932108118,0.011974351320153467,-0.032717634657116176,0.05666633729742311
aging_share_65plus,0.5802103594091528,0.012131646088647856,-0.035189307869063276,0.05945260004635899
aging_share_65plus,0.5857626256074937,0.012418306180570306,-0.037497062674413544,0.062333675035554155
aging_share_65plus,0.5913148918058346,0.012805977890899434,-0.03952603815817785,0.06513799393997671
aging_share_65plus,0.5968671580041757,0.013254355966010108,-0.04140990498096354,0.06791861691298376
aging_share_65plus,0.6024194242025167,0.013715011003018932,-0.043462642145753363,0.07089266415179123
aging_share_65plus,0.6079716904008576,0.014139358346787263,-0.04601436572261671,0.07429308241619123
aging_share_65plus,0.6135239565991986,0.014478813342176565,-0.04938960989656733,0.07834723658092047
aging_share_65plus,0.6190762227975395,0.01468479133404825,-0.053911839818538046,0.08328142248663455
aging_share_65plus,0.6246284889958804,0.014715388042109458,-0.05992872001483767,0.08935949609905658
aging_share_65plus,0.6301807551942213,0.014574505036184793,-0.06780671186688494,0.09695572193925453
aging_share_65plus,0.6357330213925625,0.0142852572673971,-0.07775206546150339,0.10632257999629759
aging_share_65plus,0.6412852875909034,0.013870825419420578,-0.08974495468864041,0.11748660552748158
