feature,x,prediction,lower,upper
working_age_share_15_64,0.3174872665534805,0.01998770924302852,-0.07507990054044812,0.11505531902650516
working_age_share_15_64,0.32327225081437994,0.018287681626177527,-0.06467840537887179,0.10125376863122684
working_age_share_15_64,0.3290572350752794,0.01671709608230068,-0.05540585619453617,0.08884004835913753
working_age_share_15_64,0.33484221933617886,0.015309109257534995,-0.04749771918403996,0.07811593769910995
working_age_share_15_64,0.3406272035970783,0.01409687779801741,-0.041059713069151536,0.06925346866518636
working_age_share_15_64,0.3464121878579777,0.013113558349884882,-0.0359865603026038,0.06221367700237356
working_age_share_15_64,0.3521971721188772,0.012392249332534883,-0.03192452030166614,0.05670901896673591
working_age_share_15_64,0.35798215637977665,0.011949029705099923,-0.028439238744074676,0.05233729815427452
working_age_share_15_64,0.3637671406406761,0.011759403015550604,-0.025333936595134866,0.048852742626236074
working_age_share_15_64,0.3695521249015756,0.011792955249900192,-0.02251438410708352,0.046100294606883904
working_age_share_15_64,0.37533710916247504,0.012019272394161964,-0.01987414755692015,0.04391269234524408
working_age_share_15_64,0.38112209342337444,0.012407940434349188,-0.017236362378780398,0.04205224324747878
working_age_share_15_64,0.3869070776842739,0.012928350852051018,-0.01436784287485542,0.04022454457895745
working_age_share_15_64,0.39269206194517337,0.013539716964481266,-0.011243309615841055,0.038322743544803584
working_age_share_15_64,0.3984770462060728,0.014186278850135153,-0.008223149707630946,0.03659570740790125
working_age_share_15_64,0.4042620304669723,0.014811078044043052,-0.005703241061583524,0.03532539714966963
working_age_share_15_64,0.41004701472787175,0.015357156081235307,-0.003856761138306488,0.034571073300777105
working_age_share_15_64,0.4158319989887712,0.01576755449674226,-0.002481252556820173,0.0340163615503047
working_age_share_15_64,0.4216169832496707,0.015989946923251855,-0.001107426461693848,0.033087320308197554
working_age_share_15_64,0.42740196751057014,0.01606515727007815,0.000489855917249149,0.03164045862290715
working_age_share_15_64,0.4331869517714696,0.01612027829413079,0.0020848752676244173,0.030155681320637166
working_age_share_15_64,0.43897193603236906,0.01628565602255358,0.0033726877539241966,0.029198624291182963
working_age_share_15_64,0.44475692029326847,0.016691636482490335,0.0043241218754430134,0.029059151089537657
working_age_share_15_64,0.4505419045541679,0.017468565701084876,0.005395338043369533,0.02954179335880022
working_age_share_15_64,0.4563268888150674,0.018726573669508154,0.007270220049746777,0.03018292728926953
working_age_share_15_64,0.46211187307596685,0.020371325297509096,0.009923122945626662,0.030819527649391533
working_age_share_15_64,0.4678968573368663,0.022189763079875732,0.012711107933809005,0.03166841822594246
working_age_share_15_64,0.4736818415977657,0.02396736712453458,0.014987756789634887,0.03294697745943427
working_age_share_15_64,0.4794668258586652,0.02548961753941227,0.016506109919757303,0.03447312515906724
working_age_share_15_64,0.48525181011956464,0.026541994432435365,0.01751224018958529,0.03557174867528544
working_age_share_15_64,0.4910367943804641,0.026975845476145524,0.01836599142939945,0.035585699522891596
working_age_share_15_64,0.49682177864136357,0.02701855870901143,0.019140311841417144,0.03489680557660572
working_age_share_15_64,0.502606762902263,0.027030760055020933,0.01967016533942898,0.034391354770612885
working_age_share_15_64,0.5083917471631625,0.02737323156868539,0.019959754964059558,0.03478670817331122
working_age_share_15_64,0.514176731424062,0.028406755304516196,0.02056269280931804,0.036250817799714355
working_age_share_15_64,0.5199617156849614,0.030492093726882052,0.022408628076906828,0.03857555937685728
working_age_share_15_64,0.5257466999458609,0.03387583794829768,0.026111722018903154,0.04163995387769221
working_age_share_15_64,0.5315316842067603,0.03842153302039941,0.031205023408222055,0.04563804263257677
working_age_share_15_64,0.5373166684676598,0.04391248277018505,0.03694718221763808,0.05087778332273202
working_age_share_15_64,0.5431016527285593,0.05013199102465231,0.04290166911182455,0.057362312937480064
working_age_share_15_64,0.5488866369894587,0.05686336161079898,0.04916082458557081,0.06456589863602714
working_age_share_15_64,0.5546716212503582,0.0638906147706876,0.056034047690068735,0.07174718185130646
working_age_share_15_64,0.5604566055112576,0.0710985725847896,0.06356037947986794,0.07863676568971127
working_age_share_15_64,0.566241589772157,0.0785759219954422,0.0713420468810457,0.08580979710983869
working_age_share_15_64,0.5720265740330565,0.0864359431308781,0.07902164176344197,0.09385024449831424
working_age_share_15_64,0.5778115582939559,0.09479191611932951,0.08672574659297659,0.10285808564568243
working_age_share_15_64,0.5835965425548554,0.1037571210890288,0.09501324364137004,0.11250099853668757
working_age_share_15_64,0.5893815268157548,0.11345140314516569,0.10442849597508132,0.12247431031525007
working_age_share_15_64,0.5951665110766543,0.12423293711034242,0.11516969910483339,0.13329617511585146
working_age_share_15_64,0.6009514953375538,0.13676006845911926,0.12726466961596486,0.14625546730227365
working_age_share_15_64,0.6067364795984532,0.1517102825405678,0.14110856818111053,0.16231199690002504
working_age_share_15_64,0.6125214638593527,0.16976106470375907,0.15765593486587937,0.18186619454163877
working_age_share_15_64,0.6183064481202522,0.19158990029776501,0.1780651595625988,0.20511464103293123
working_age_share_15_64,0.6240914323811515,0.2177908064372261,0.20319540619188184,0.23238620668257035
working_age_share_15_64,0.629876416642051,0.24764876791621782,0.2319812210273433,0.2633163148050923
working_age_share_15_64,0.6356614009029504,0.2794094230736915,0.26215764265238556,0.2966612034949974
working_age_share_15_64,0.6414463851638499,0.31128978064418844,0.29185694428570447,0.3307226170026724
working_age_share_15_64,0.6472313694247493,0.3415068493622511,0.31961220905308474,0.3634014896714175
working_age_share_15_64,0.6530163536856488,0.36827763796242086,0.3440854790347855,0.39246979689005623
working_age_share_15_64,0.6588013379465483,0.38997096061996384,0.36392269342968575,0.4160192278102419
working_age_share_15_64,0.6645863222074477,0.40621402053448014,0.3784952271824821,0.4339328138864782
working_age_share_15_64,0.6703713064683472,0.4172562366514599,0.38761108085714185,0.4469013924457779
working_age_share_15_64,0.6761562907292467,0.4233514501049255,0.39122201457999467,0.4554808856298563
working_age_share_15_64,0.6819412749901461,0.42475350202889933,0.38946905489401856,0.4600379491637801
working_age_share_15_64,0.6877262592510456,0.421716233557404,0.3826142599400746,0.46081820717473343
working_age_share_15_64,0.693511243511945,0.41455804775240546,0.37094892956749553,0.4581671659373154
working_age_share_15_64,0.6992962277728445,0.40390554576597776,0.3549316564191328,0.4528794351128227
working_age_share_15_64,0.705081212033744,0.39047719079024734,0.3352381807320887,0.44571620084840596
working_age_share_15_64,0.7108661962946434,0.37499146177953047,0.31274722734919513,0.4372356962098658
working_age_share_15_64,0.7166511805555429,0.35816683768814267,0.28848897509393806,0.4278447002823473
working_age_share_15_64,0.7224361648164423,0.3407216336472794,0.2635788129045503,0.4178644543900085
working_age_share_15_64,0.7282211490773418,0.3232343622323198,0.23896251781441658,0.4075062066502231
working_age_share_15_64,0.7340061333382413,0.30588896803190685,0.2149919980006415,0.3967859380631722
working_age_share_15_64,0.7397911175991407,0.28880028275554426,0.19187599736968963,0.3857245681413989
working_age_share_15_64,0.7455761018600402,0.27208313811273666,0.1697953529578562,0.3743709232676171
working_age_share_15_64,0.7513610861209397,0.25585236581298787,0.14891307301177126,0.3627916586142045
working_age_share_15_64,0.757146070381839,0.24022218642904214,0.1293786352504685,0.3510657376076158
working_age_share_15_64,0.7629310546427385,0.22525720600688093,0.1112602348640957,0.33925417714966616
working_age_share_15_64,0.7687160389036379,0.21093658389518488,0.09449294432415464,0.3273802234662151
working_age_share_15_64,0.7745010231645374,0.19723103108805812,0.07898891821096317,0.3154731439651531
working_age_share_15_64,0.7802860074254369,0.18411125857960428,0.06465096736566818,0.3035715497935404
working_age_share_15_64,0.7860709916863363,0.17154797736392752,0.05137342534782213,0.2917225293800329
working_age_share_15_64,0.7918559759472358,0.15951189843500807,0.039042593851340165,0.27998120301867596
working_age_share_15_64,0.7976409602081352,0.1479737327835543,0.027537025084881914,0.2684104404822267
working_age_share_15_64,0.8034259444690347,0.13690419139674093,0.016727865737730815,0.257080517055751
working_age_share_15_64,0.809210928729934,0.12627398526156736,0.006479486745531948,0.24606848377760276
working_age_share_15_64,0.8149959129908335,0.11605382536503243,-0.0033493672847614425,0.23545701801482632
working_age_share_15_64,0.8207808972517331,0.1062144226941351,-0.012903680038424861,0.22533252542669507
working_age_share_15_64,0.8265658815126324,0.09672648823590273,-0.022329336025635735,0.21578231249744118
working_age_share_15_64,0.8323508657735319,0.08756073297770309,-0.03176930186696347,0.20689076782236965
working_age_share_15_64,0.8381358500344314,0.07868786790713773,-0.04135895640786054,0.19873469222213602
working_age_share_15_64,0.8439208342953308,0.07007860401181203,-0.05122097026034583,0.19137817828396989
working_age_share_15_64,0.8497058185562303,0.06170365227933176,-0.061460381306892665,0.18486768586555619
working_age_share_15_64,0.8554908028171297,0.05353372369730229,-0.0721606367372812,0.1792280841318858
working_age_share_15_64,0.8612757870780292,0.04553998365469835,-0.08338077285057094,0.17446074015996765
working_age_share_15_64,0.8670607713389287,0.03769671326999745,-0.0951526945620687,0.17054612110206357
working_age_share_15_64,0.8728457555998281,0.029979500562407696,-0.10748616946687817,0.16744517059169356
working_age_share_15_64,0.8786307398607276,0.02236393802228731,-0.12037352183572139,0.165101397880296
working_age_share_15_64,0.8844157241216271,0.014825618139994959,-0.1337933158738423,0.16344455215383225
working_age_share_15_64,0.8902007083825265,0.007340133405888807,-0.14771419749026926,0.1623944643020469
