code_a,code_b,feature_distance,rail_share_gap_pp
27301,42308,0.7108957950781098,44.10384562527894
27301,40341,1.0787088961179467,39.50189232819055
26303,42308,0.9114427027125862,29.16807720097086
26303,36402,1.1072512381475592,28.805456546105557
13225,40219,1.0514126635731826,26.958014360922604
01217,12222,1.128590130608909,25.133721123356256
12206,14215,1.0502754290047314,24.479908904843096
01235,26207,0.7671044383248727,23.17797050225395
08208,27221,0.9729975830235439,21.64709734237739
11324,31204,1.0157611129381425,21.088331493132472
23208,27221,0.9665645089756745,20.643223370515823
08443,13227,1.0669209544027873,20.02884282942854
27301,29344,1.0794616819610428,19.893880014716206
26208,40223,0.7919359885392634,19.23136372965727
14366,36402,1.017059252829878,19.199318333758942
26211,41203,0.9980062454669432,19.059488672623647
13203,13204,1.0607592378559212,18.399122054242895
29344,38401,1.0366906492097836,18.38873364294195
13223,27206,1.0927949286413647,18.34190925041022
11212,27221,1.1615587188406422,18.24961548491992
13204,13208,0.9396944336642115,18.213122475148584
01235,29206,0.7512894752760377,17.903754131639555
01235,11464,0.9689674152361708,17.728778929925433
27230,27361,1.1269189981148298,17.19261320467585
14210,24215,0.7792155235469989,16.468847103828033
14362,36401,1.1551609292952496,16.14179994732466
08226,29363,0.9229282527888066,15.882553147275488
13223,13227,0.8723883460659229,15.810124187433544
03216,11301,1.147106108166839,15.809423325319727
11246,40223,1.0681391742446993,15.743780195732029
11232,12206,1.1585810945370822,15.303253229868044
29363,37341,1.0924100687366103,15.244114986274827
29361,40384,1.1022191647210489,15.148961816397385
01235,30203,0.7709842982945005,15.073681308666147
26303,27301,1.0058563250020025,14.935768424308083
11324,21303,1.0850377212424822,14.82079342976889
11241,13223,0.9910376132639942,14.678432212030728
11235,27213,1.1114822327253662,14.592372640518825
08226,11464,1.0476474778622449,14.56779238723938
12224,29205,0.8515036407999136,14.54783555102716
01234,11238,1.0163493193322282,14.45882981301057
10212,14321,1.1069179370696671,14.313788779444806
28301,29344,1.1396157622391079,14.27231357100928
27383,29401,1.0813331596628062,14.217398690693017
26209,40223,1.0885614153760765,13.900216352865
29363,38401,0.9426476471423191,13.805697295814062
27225,29206,1.1208326525611834,13.66835198454231
08219,26209,1.0778327633398914,13.604092323711974
08203,14211,1.1015764042992426,13.568033791384599
08208,11241,1.0680034563987473,13.532309917576042
12224,13222,1.0664271412968371,13.130425180346595
22341,23235,0.993457414384564,13.042732461748512
05211,14217,1.0994060277145181,13.035614158229937
14214,14216,1.1642301683260377,12.702882852464963
01234,27232,0.9967362649751217,12.696440219837324
28382,28464,0.9703793261799779,12.618641355568627
11465,14362,0.8613574947508845,12.572568546380007
11465,27381,1.1590484391079459,12.5070859251215
08443,14321,1.0067575775207145,12.490965141953673
13222,28206,1.028859712899732,12.44812774257349
29205,40220,1.1332166800095713,12.439772037941953
08223,09364,0.961862519858809,12.19692990801969
13213,13222,0.9853131766850471,12.188171899965173
26303,34309,1.049851277208366,12.158983334825946
14207,28214,1.075630133658725,11.975374068428351
08226,30203,0.9480068676545513,11.912694765980095
04209,30209,1.1441379447874707,11.866147906107607
11301,34302,1.0360142003404667,11.863146184479108
14321,28218,1.0682360351871907,11.796741006929434
12232,40216,1.0178784045736986,11.791110203010971
14321,22220,1.0658688119085966,11.733333562049141
26208,27208,1.0284699695101591,11.605342328013329
12206,12208,1.1122688600461141,11.53651885540169
11202,14206,1.1520693641364903,11.416196290788722
22215,23234,0.9863190445821399,11.39463083440995
26366,42307,1.0150207819981052,11.361356566853683
22325,29206,0.846110721780551,11.263753427755793
13202,13229,1.0493968215309895,11.12227496614458
08223,11242,0.9600582592456861,11.108050563762244
19210,40223,1.1629721444159171,11.104587849510793
11464,22325,0.9439320600764151,11.08877822604167
16211,23224,1.005058305713446,11.034940024679571
14364,17207,1.0584619292346635,10.984394763493102
08341,11301,0.6466493189572539,10.894266473474252
13202,13212,1.1391541105867145,10.86083297370799
27208,27225,0.8770784900833706,10.82356864641939
08235,40211,1.0206605186474706,10.776039995082593
09364,28381,0.8156552674022428,10.75762386374164
23226,26209,1.1334615952008675,10.74340656724822
29442,36404,1.136322404405037,10.723321068260647
17209,23362,0.9701114176209454,10.705406701137088
14217,22325,0.9584280954635215,10.651735422575594
11228,13225,1.159941603381448,10.524570451843068
23226,34302,1.1340038264921646,10.465033321702704
12224,13220,1.0942624543799435,10.448780571288346
09211,09364,1.0721641381638556,10.423105317359585
30209,40223,1.1229940743086382,10.365451369143262
29342,29427,0.8241172713724014,10.293026496720012
14321,21209,0.9906024526900239,10.25577948080276
23362,24341,1.1370487547924848,10.224913239141276
11238,12239,0.9754947804157514,10.220277611456638
40211,40223,1.1556405865415746,10.162522892310292
11212,11241,1.1537945569838233,10.134828060118572
04203,11238,1.048534300824442,10.120144398879335
24203,34213,1.137386658502379,10.092203340785813
17211,23442,0.613792520460249,10.020510644620414
16211,23237,1.0942345278664392,9.91404390455556
11221,14213,0.9741559536327157,9.758266666180498
04203,29202,1.039407495370064,9.698922384893885
14366,26303,0.952090697885109,9.606138212346615
11231,27230,0.9980696361016987,9.561378133873793
21421,34304,0.8066642759997421,9.50845535154202
11442,11464,1.0448211414501647,9.49223631165958
21209,23362,1.0852450485483276,9.316480141888187
23226,41203,1.0697783166495916,9.24057367534671
11341,21302,1.041896130455501,9.20396067409693
40223,40341,0.9891864332383787,9.103952344503451
08216,26206,0.807519210560164,8.81677243325502
34211,40226,1.1087782022378805,8.772365650151198
17211,23447,0.9250952807169385,8.704461647879059
04211,30209,0.8884000040696756,8.637103767326499
26208,27229,0.6826414656412714,8.630870581280337
23224,33208,0.9971010010412693,8.612745824941655
16211,23217,1.1254334760237141,8.430660913872329
40344,42308,1.0887518563716003,8.419149975594767
11209,11238,0.9787441725874836,8.41343763714363
27231,27361,1.014768101897535,8.32485671303171
13207,27213,0.9952442578174342,8.28304298799647
11230,14216,1.1654056649528357,8.151337954255967
11241,27221,1.0423164776006035,8.114787424801348
14362,21303,0.8636826507481616,8.087977223389396
11231,11246,1.023490571788038,8.030518830520506
21303,27381,1.047742827723871,8.022494602130891
11301,12229,1.0926899150053246,8.018258679731002
11235,14216,1.0432905030284612,7.966721175488173
26204,28207,1.1184147225873842,7.939855442055229
11245,27213,1.0195833789316457,7.911666266397183
11362,14364,1.096212281705373,7.893218625980255
27225,27229,0.6172490859179919,7.849096899686398
03207,22225,1.0972877980139342,7.846096233649277
03216,12229,1.1325048518374219,7.791164645588726
11207,11242,1.1544621123250982,7.6644632995285455
