population_density,prediction,lower,upper
0.012907852276801721,0.014079476125678725,0.01021174350308163,0.01794720874827582
2.3544027931085463,0.03254674270767827,0.02957996296836201,0.035513522446994523
4.69589773394029,0.04979988863127627,0.046028929762874655,0.05357084749967788
7.037392674772035,0.06599245931275133,0.06128158654721921,0.07070333207828344
9.37888761560378,0.08127800016838183,0.07576582495032397,0.08679017538643968
11.720382556435524,0.09581005661444666,0.08965819674978281,0.10196191647911051
14.06187749726727,0.10974179303097498,0.10317532706868167,0.11630825899326828
16.403372438099012,0.12311499831350009,0.1162983018538928,0.12993169477310737
18.744867378930756,0.1357059355414394,0.12850260918052386,0.14290926190235492
21.0863623197625,0.14725214322129415,0.13937310231592526,0.15513118412666305
23.427857260594244,0.1574911598595653,0.14877432284095307,0.16620799687817753
25.76935220142599,0.1661605239627539,0.156723018652703,0.17559802927280482
28.110847142257736,0.17300520398702932,0.16320340531704147,0.18280700265701716
30.45234208308948,0.17815896802328401,0.1682604596826677,0.18805747636390033
32.79383702392123,0.18232755269520495,0.17221351837952584,0.19244158701088407
35.13533196475297,0.18626247825151837,0.17559770966470897,0.19692724683832777
37.476826905584716,0.19071526494095029,0.17926884273579027,0.2021616871461103
39.81832184641646,0.19643743301222685,0.1843011128924106,0.2085737531320431
42.159816787248204,0.2041451015725897,0.19172886866711877,0.2165613344780606
44.50131172807995,0.2138424820006643,0.20149918110529025,0.22618578289603836
46.84280666891169,0.22487446976570202,0.21260549411908425,0.2371434454123198
49.184301609743436,0.236561096983813,0.22412073944699695,0.24900145452062905
51.52579655057518,0.24822239577110727,0.23536995449441447,0.2610748370478001
53.867291491406924,0.25917839824369493,0.24590450395326863,0.27245229253412123
56.208786432238675,0.26879582495775634,0.25535307049785805,0.2822385794176546
58.55028137307042,0.27691360356849165,0.2634837277329848,0.2903434794039985
60.89177631390216,0.283644848241421,0.27016421293570275,0.29712548354713925
63.23327125473391,0.28910605048871274,0.27539007188415165,0.3028220290932738
65.57476619556564,0.29341370182253557,0.2793634187106012,0.3074639849344699
67.91626113639738,0.29668429375505795,0.28243587162024825,0.31093271588986765
70.25775607722913,0.2990553811006594,0.2849335760098849,0.31317718619143387
72.59925101806087,0.3007847698461638,0.286934280581233,0.31463525911109463
74.94074595889262,0.30217287313815644,0.28844340364473803,0.31590234263157485
77.28224089972437,0.30352015405104993,0.28961086228009836,0.3174294458220015
79.62373584055611,0.3051270756592569,0.2908140615635478,0.319440089754966
81.96523078138786,0.3072940931069897,0.2925834843482293,0.3220047018657501
84.3067257222196,0.3102754443314565,0.2953122384164062,0.3252386502465068
86.64822066305135,0.31417030806455387,0.2989129403805803,0.32942767574852744
88.98971560388308,0.3190453809379915,0.3032595966930797,0.3348311651829033
91.33121054471484,0.3249673595834791,0.30840191436166287,0.34153280480529535
93.67270548554657,0.33200294063272634,0.314571094660183,0.34943478660526966
96.01420042637832,0.3402173141522605,0.3220729811559762,0.35836164714854474
98.35569536721006,0.3494636917794193,0.330845127458269,0.36808225610056966
100.69719030804181,0.35916657319680545,0.3401311101744635,0.3782020362191474
103.03868524887355,0.36869874052911655,0.34915910925899013,0.388238371799243
105.3801801897053,0.3774329759010508,0.3572995976296932,0.3975663541724084
107.72167513053704,0.38474206143730605,0.36406114528756356,0.40542297758704854
110.06317007136879,0.3900117686435584,0.3690229474350681,0.41100058985204874
112.40466501220054,0.39309942521189234,0.3720623764459807,0.41413647397780395
114.74615995303228,0.39445627271741907,0.37344151506262474,0.4154710303722134
117.08765489386403,0.3945714226506376,0.3735052679353045,0.41563757736597073
119.42914983469576,0.39393398650204686,0.37272304790246014,0.4151449251016336
121.77064477552751,0.3930330757621458,0.3716897723920027,0.4143763791322889
124.11213971635925,0.3923432310510897,0.3710329028985892,0.4136535592035902
126.453634657191,0.3921104780294325,0.3709615094577307,0.4132594466011343
128.79512959802275,0.39239940588020766,0.3713518726011815,0.4134469391592338
131.1366245388545,0.3932696059779209,0.3721361761832752,0.41440303577256654
133.47811947968626,0.3947806696970776,0.37337236045572847,0.4161889789384267
135.81961442051798,0.3969921884121835,0.3752336454449414,0.41875073137942553
138.16110936134973,0.3999608487113889,0.37790824149618607,0.4220134559265918
140.50260430218148,0.40371925799800024,0.38136643688520316,0.4260720791107973
142.84409924301323,0.40828811762110045,0.38549859982312,0.4310776354190809
145.18559418384496,0.4136880443115082,0.3902893005062802,0.4370867881167362
147.5270891246767,0.4199396548000421,0.39584509872170903,0.44403421087837514
149.86858406550846,0.4270635658175207,0.4023571520704615,0.45176997956457987
152.2100790063402,0.43503533383340465,0.4099414810279874,0.4601291866388219
154.55157394717196,0.4436154119747882,0.418281311642546,0.4689495123070304
156.89306888800368,0.4525001393054854,0.4269496168804645,0.47805066173050625
159.23456382883543,0.4613858438882706,0.4355880114077638,0.48718367636877735
161.57605876966718,0.4699688537859176,0.44392705667678306,0.4960106508950521
163.91755371049894,0.4779455791641307,0.45175987605120604,0.5041312822770554
166.25904865133066,0.4850824947770671,0.4588949194695557,0.5112700700845785
168.6005435921624,0.491343820287379,0.46515495962131626,0.5175326809534417
170.94203853299416,0.4967284125315908,0.47039850724353055,0.5230583178196511
173.2835334738259,0.5012351283462272,0.4745719547526824,0.5278983019397719
175.62502841465763,0.5048628245678126,0.47772428559179253,0.5320013635438327
177.9665233554894,0.5076109455578457,0.4799707940559369,0.5352510970597545
180.30801829632114,0.5095266333053228,0.4814046785997378,0.5376485880109078
182.6495132371529,0.5107391751910187,0.482066658320461,0.5394116920615765
184.9910081779846,0.511385980540951,0.4820344460159418,0.5407375150659601
187.33250311881636,0.5116044586811365,0.48146237503705797,0.541746542325215
189.6739980596481,0.5115320189375923,0.4805753209588811,0.5424887169163034
192.01549300047986,0.5113086879731321,0.4796271734626824,0.5429902024835818
194.35698794131162,0.5111438978835494,0.4788327214385603,0.5434550743285385
196.69848288214334,0.5113220224783807,0.478377846697801,0.5442661982589603
199.0399778229751,0.5121311622049056,0.478487415383261,0.5457749090265502
201.38147276380684,0.5138594175104038,0.4794478083022844,0.5482710267185231
203.7229677046386,0.5167948888421551,0.48159523040276153,0.5519945472815486
206.06446264547031,0.5212033424910816,0.48524620001079577,0.5571604849713674
208.40595758630207,0.5270715272034674,0.4903125654579811,0.5638304889489537
210.74745252713382,0.5341965275863699,0.49641775907026164,0.5719752961024782
213.08894746796557,0.5423718037706844,0.5031703572135198,0.581573250327849
215.4304424087973,0.5513908158873051,0.5101881818147074,0.5925934499599028
217.77193734962904,0.5610470240671273,0.5171029711885728,0.6049910769456817
220.1134322904608,0.5711472966778466,0.5235579163419439,0.6187366770137492
222.45492723129254,0.5815904393959836,0.529259122067089,0.6339217567248783
224.7964221721243,0.5923138212380143,0.5340318451467038,0.6505957973293249
227.13791711295602,0.6032549431527727,0.537828972110828,0.6686809141947174
229.47941205378777,0.6143513060890937,0.5407056805788177,0.6879969315993697
231.82090699461952,0.625540410995812,0.5427802643502145,0.7083005576414095
