,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
A1101,0.19379751987477184,-0.029556199391135463,0.020552491256938813,-0.004756911013804642,0.006644002691554869,0.0011146251520502682,-0.0018756300163735142,0.002647694232391327,-0.01784722253345161,-0.018317894884954767,0.021595635414778356,-0.07408913016999048,-0.07731526412613073,-0.11562392608167207,-0.06270864726757568,-0.014104677047698636,-0.05920506270824598,0.10578016637881835,-0.00336675683006148,0.056395356261158755,0.027297135789337,0.10694491945655811,0.038674034388149175,0.00033962801617816175,-0.06432318714069983,0.05820548122300828,0.2814566878852327,0.03183785616308219,0.05032777020527788,0.17493620893193312,0.19471180660016854,-0.42046432655349586,0.7506811478110782,0.017272992300521633,0.0
A1102,0.19384157270736213,-0.026128729053513433,0.016910800786347234,-0.0017132510165090388,0.005352689957974154,0.0021371507338697154,-0.0011805357660311768,0.0023614271528028257,-0.005960209722082449,-0.023503491748699794,0.024768143214785716,-0.09650408970900215,-0.08012074448708212,-0.10462885713265252,-0.040187306013426134,-0.028451846988464206,-0.052904566167011426,0.12100708972153638,-0.02434229046332564,0.03481614319758387,0.02037319416306556,0.09329709590458025,0.022532598471418707,0.016391025478127298,0.04283379397249418,0.020481936781154175,0.2633141680281064,0.05518407004514461,-0.19697446936476548,0.23283205566612977,0.031396594595014954,-0.04261109553756871,-0.320263086018523,0.7930652806814071,1.4038701590202953e-11
A1301,0.19357020294792468,-0.025326241537747977,0.003389896949883937,0.009142628070862278,0.005292575428193261,0.0036746172173476284,0.010706065715443596,0.008657566963756606,0.023750535236120137,-0.059943167585058306,0.04325039996755812,-0.16770917188590823,-0.05210193132899581,-0.041707225374661566,-0.09012334941226668,-0.0801634479200624,-0.035041728245483954,-0.2663935533839509,0.026098541134550072,-0.10045310799054558,0.07779115231916084,-0.07990840942334032,-0.030591376419439258,-0.05746521810694666,0.10210017574383536,-0.13704213849854524,0.02389940541543595,0.022776194103654453,-0.03329826020731063,0.11353895672234134,-0.2566070532432116,0.7163175121957459,0.4121331315574741,0.12513781027483137,6.596410158055809e-12
A1302,0.19322708717375714,-0.04192812476459793,0.03133289027958607,-0.016573570066522977,0.012463313559393141,-0.001895298239883053,-0.003406384405368278,0.0031804986868340184,-0.08609779502437138,-0.029062761032699815,0.035732651410865124,-0.06424934236841802,-0.10580008510070706,-0.10954144277066201,-0.09184287375238817,-0.019671809031865457,-0.11584495025340477,0.0567066853471532,0.03268829001515468,0.11259227118459324,0.04565272990702605,0.2630345630342592,0.036783107097639364,0.09465198407129868,-0.04973472834046236,0.08350227394861569,0.32368497930739415,0.02663215085862075,-0.41317844976173446,0.3474588804654898,0.0008819009000994517,0.1472590177060619,-0.25654567815185336,-0.5549352247496964,-8.906424528392486e-12
A1303,0.19313182880201635,0.006918708618866798,-0.006187899149052914,0.022904310222513675,-0.009243081104844257,0.009818821517303528,-0.0035618947916429603,-0.0030985520714143103,0.14515811685262997,0.012125886393381236,-0.01699421120271976,-0.08684993866993666,-0.03397001164428373,-0.20011116331939097,0.09555684314030143,0.02292077260633875,0.02143513652815175,0.42801055993375653,-0.16478405681496155,-0.05418750252197163,-0.0633697358071202,-0.21143337653218278,0.01863694915405879,-0.16947200094956294,0.1936604486478231,-0.04508826145552358,0.49334318591431553,0.05461255275006165,0.39003697160172424,-0.29898703659323933,-0.07151009158513412,0.13908337668671797,-0.1269685913498795,-0.1498060404669964,-2.4259026826852595e-12
A1401,0.1933837685901217,-0.0358393917036794,0.016280289149433275,-0.0043323894563193814,0.010292363523767821,-0.0002639802366767642,0.006185683281569968,0.010658062035920828,-0.04846124663938586,-0.04223186088908778,0.04225502889379671,-0.1259667660722967,-0.07924529330024066,-0.03681735976378054,-0.12799478829618002,-0.06028855390224277,-0.0814089555000769,-0.34245109157154174,0.06954625280746647,-0.0388609026590953,0.09995937293296112,0.04208581340213787,-0.05374708944822832,-0.18375905718940738,0.1989363921211498,-0.22548008061891703,0.03361503118186252,-0.05682867477821966,-0.11049031045172143,-0.3919292677964469,0.6788080598343843,0.011776276745426929,-0.10078939138426914,-0.0316517597520977,-8.940073754760009e-13
A1402,0.19347322551145746,-0.03324765523746435,0.013131852286730491,-0.001537340425606047,0.00936879061276658,0.0007241499857363635,0.006674700319794439,0.010354392342746273,-0.03493115758111172,-0.04565044643478317,0.041209564578065065,-0.13846075111209574,-0.07465286425149785,-0.03430375596112361,-0.1138952742244468,-0.07451967247988552,-0.05195133413359266,-0.3137980013365323,0.07228055280199329,-0.06125843983607415,0.11322025061723344,0.003435403306608542,-0.049263177957729734,-0.14698397929461074,0.17845115130852585,-0.22096634455271963,0.05526851520986244,-0.059753788867760005,-0.08599939497790549,-0.18225688418413202,-0.6268040764465732,-0.48097601983763055,-0.0922661586878956,-0.06283411412173542,-3.857296731093466e-12
B1101,0.02737992774637504,0.5296610100449278,-0.04339875869992988,-0.27588228938089066,-0.009056688099610764,-0.1127580623260562,-0.09000497334395123,-0.5846163135028405,-0.11287910568481745,-0.23215804695265133,-0.4411320771528234,-0.09133168157298398,-0.034806420593376124,-0.0003570195257802067,-0.07267425140417039,-0.030620430985153223,-0.021413000150805862,0.007901690983624173,-0.003813609631322115,0.0045250563925263625,-0.009450543712829962,-0.017959405610947353,-0.006818456323641663,0.0018950618491201767,0.0019489432466165163,-0.0010455059763922355,-0.0020074982141815756,0.00168032737693482,-0.0010338627841090544,3.785342079932214e-05,0.0008919190849506321,-0.0005605803905089241,0.0008966044286950481,-0.0002901912385878874,-5.745361947924538e-14
B1103,0.07834131761571163,0.5222983202320508,-0.2138532228193472,-0.11954020901104474,-0.0872764921045577,-0.020398446547042662,0.04606441781128183,-0.13231760822610475,0.0007374474367005335,0.2910725711401173,0.7339905345512897,0.08301030880099135,0.023954473253451392,0.0010125328206451738,-0.041852519999843435,0.003671263058252323,0.006209044343349639,0.002383450225074545,0.0013133098743452667,-0.008687036183898414,-0.003994420795556575,0.008141599957337594,0.017180574497571054,-0.000573455343134334,-0.010774250404968108,-0.005457314354327089,0.0029497821748154258,-0.0002510470331688229,0.004206373949057529,-0.0028320449764165177,-0.0015862428731342963,0.0009417647809071417,-0.001156945084749337,0.0002664354562591738,-2.1121356296489558e-14
B1104,0.002397907109423422,0.16155366734855509,-0.07672615320760938,0.0034903349656749036,0.9648303494215958,0.15937069327400435,-0.01829474645245638,0.09846440592489089,0.03292633711088621,0.01808897099073044,-0.006628087887194915,0.006651711912531823,-0.009894021663682997,-0.000701603975725018,0.0006502761983763299,-0.0010573798085191746,0.005572165550696728,0.0017423096453146455,-0.003406393949811876,0.00028640825381579936,-0.00276176448098137,0.0026925804710909037,0.00010539935738104277,0.002657276511807575,0.0002922866678112413,-0.00047579916104417523,-0.0009531176788192473,0.0005109842844072438,0.00011666555291730826,-0.000571917582818837,0.0001409785708986319,1.489187910356561e-05,3.66817561955299e-05,-9.576017609229885e-06,1.3454312950351513e-15
C120110,0.18777491988787964,-0.05978974112180299,0.0510576011844021,-0.06281601423639126,0.026010573132745716,-0.006878571631746033,-0.00935604880725289,0.00034887432566647344,-0.37030639363011364,-0.13554100754741896,0.0839647409831518,0.23767299334302716,-0.17969546262290162,0.0952766049470944,0.3096848321291791,-0.17343220714475863,-0.06071520685011175,-0.04964411793805383,-0.1858097458691082,0.018206022596687983,-0.2526783162253226,-0.11950018811352836,-0.15470608045616477,0.13055577137810692,-0.03390568293869686,-0.2862998709970545,0.037406327238425366,-0.4984821757119179,0.1749604948185566,0.20189854193268167,0.03868120693137895,-0.005900903601855874,-0.03656615342354104,-0.007550824859840969,-4.547291370933878e-13
C120120,0.19169375708953842,-0.029668346785396715,0.015893110713450325,-0.027673605107557644,0.012268073195210968,0.004246311902776239,0.0032574940403299942,-0.008228657551577378,-0.15399345148786256,-0.16350682325065738,0.07243555541626821,0.21410553543509936,-0.2224298077291284,0.061618515759112376,0.34935760263951887,-0.19010165060140952,-0.15335919325592223,0.02166214965129831,0.0272384203224588,0.09336594357387525,-0.08487808624303088,-0.12967640992940058,-0.0980459610438576,-0.30344217186134326,-0.28440285613655647,0.12951773196275967,-0.1022762501574264,0.558242085222795,-0.17786216392704898,-0.18582044657855362,-0.04412487213527445,0.011251652619464763,0.0300117249999025,0.007707298319135989,-1.315219600953925e-13
D2201,0.03949510380485911,-0.1070287520335484,-0.590034719963409,0.48459108189810063,-0.00838134150196514,0.11895960596701474,0.5156026422778058,-0.268825568262772,-0.19005460040353434,0.018603543677203706,-0.11057547942055918,0.021447517318534285,-0.024946258130282957,-0.002653874113238122,-0.029337771976616567,0.012033193790262988,0.012678933162190266,0.018252645302805452,0.010018884831845223,0.0009722639665178105,0.0007971249519985236,0.0033967128136252315,0.014636483788313845,0.005634662533225227,0.005190106442531434,-0.0025151261856528285,0.0010430425575884976,-0.0017761373361284462,0.0007029941337560825,9.261578989290816e-05,0.0007216390730127788,-8.097552952938998e-05,0.00012983214586224798,0.00011566935021391029,5.2763174211342725e-15
D2202,-0.023206852960914397,-0.20407553147850677,-0.1730664095452521,-0.4707301203338439,-0.10396983133926162,0.8232560168871305,-0.03790999350420385,-0.11834993162451958,0.03175522121467219,0.029628400996374284,0.0013975701627075194,-0.014050875373363901,0.00488511417172874,-0.0037242511596625536,-0.007154147018307212,-0.0035665090715045283,0.0024131396202409353,-0.002757890517096395,-0.007344930949618554,-0.0015675422879125502,0.0003746344517237499,-0.0013438797819407572,-0.0004293143718892155,-0.0011551845561907,-0.0019163895279420927,-0.002367706508302143,-0.00027965285216898444,0.0011241018300441055,-0.0006742246637212393,-0.00029232097340841425,5.8472440367310175e-05,-4.950363026689713e-05,5.9068942459444685e-05,2.526611345482264e-06,-3.732460564538039e-15
D2203,0.01772190077793151,0.20190830724179745,0.23537670425233861,0.6544849087253268,-0.07810616744938602,0.42319762905844543,-0.5061452576795169,-0.15308010790749357,-0.08046173013228232,-0.021283645917057368,0.04013257030394434,0.02968919480811174,0.000890288666532388,0.013682463011429653,-0.023865922070843395,-0.002648610261861809,-0.0026427499801857193,-0.01120575012127813,-0.0025127691644495596,0.002321391891180179,0.0019912541708272113,0.0025121478145244875,-0.00043225784075021816,0.0006737815721423205,0.0009124619031761385,0.0029480026393028927,0.0008217374097594283,-0.0015556070075458375,0.0002894199316740038,0.001130396412691437,-6.523333594918517e-05,0.00010960971023424436,9.393986501056334e-05,2.164617227272388e-05,-5.737210871537952e-15
D2211,-0.027417407576205567,0.27198243207766637,0.6267025533053423,0.053165743493309534,-0.030939439550488387,0.26179647397749123,0.6746673621651458,0.04372298590219638,-0.014881141234465815,0.022018451977350337,-0.035936178475389546,-0.017974463829620816,-0.01098167822596189,-0.017381630244885485,0.010425755871248766,-0.010967871213707892,0.0028706837792707293,0.0002590235211472413,0.002173241388102546,-0.003748719978388649,-0.009099065816471812,-0.0017207616123687565,-0.002716504283041519,-0.0020753599602920695,-0.0008744094602599065,-0.001627717532503328,-0.0005352976528445202,0.00278555780508798,-0.0004988951308684771,-6.50232235181682e-05,-0.00023008233923137378,-3.414682166541297e-05,0.00010420421290330728,-4.360371682157771e-05,-2.789461894568199e-15
D3201,0.19135259959063022,0.004100202708201948,0.011474728636478606,-0.014599179100448157,-0.0016276004529232294,0.014078292890614427,0.017573143772331046,-0.021936978882309825,0.1351222950926123,-0.189432996869787,0.015568162859998387,0.37525645624140974,-0.14404683167528945,0.09262939359648795,0.12509685338166787,0.06999827861414899,-0.040771431282133154,0.047974711759782046,0.4763441540982194,-0.03398583873637298,0.34954443125449325,-0.2563421303278323,0.4182307430513517,0.11593115838044167,0.24556994548266609,0.15510471531937867,-0.013819208312156783,-0.1458602604916737,0.011971352697821236,0.04566932297424772,0.022861764294665354,-0.006320266579051429,-0.006678917432217727,-0.0036872442784853837,-1.47076528346114e-14
D320101,0.1829187023120643,0.0030793672565816205,-0.02820163844276134,0.038132828478163794,-0.00985530621350305,0.020795084962913678,0.07448764606343361,-0.04553985219029057,0.44346062988259694,-0.4873053944927631,0.08844074768853714,0.4352886026463904,0.16728017926482974,0.14716773690970406,-0.19594841076998987,0.042448815929949736,0.15699786514201486,-0.04544419249604182,-0.23363767486354342,-0.06073501689604117,-0.07989617704367133,0.306275762592287,-0.2088288609097614,0.011717792745455313,0.010292067164301354,-0.04150783640631698,0.042925942679658845,0.039079805076421184,0.007612037535658769,-0.02305025455547916,-0.010990003804715409,0.001875695401519183,0.005083276931188258,0.0027449863045398005,2.2796084317016437e-13
E2101,0.19161005133695228,0.05740944974988787,-0.025398271986764667,0.009074514434976928,-0.021672434882168145,0.009722410569878213,-0.002977879925747101,0.0034408268082510023,0.11899327923775847,0.05991771786910155,-0.07165380544887726,-9.028805882490628e-05,0.025746318310397007,-0.3112002768131302,0.28154661415802856,0.3095368524793569,0.34907616736438585,-0.27063678291932974,-0.19133987423673904,0.5949127894849113,0.17102340785266543,-0.12242349140714817,-0.011850883637486397,0.1477953625430499,-0.06320592855862972,-0.06174914303640313,-0.04267968736915189,0.023595708179097154,-0.026321851624427507,-0.020878522675732546,-0.001452907952257228,-0.0030050400580832913,-0.004380725658568477,0.002675216129675716,5.629663055361161e-13
